Valcon Games,USA
PopTop Software,USA
TOHO,Japan
HMH Interactive,United Kingdom
5pb,Japan
Cave,Japan
CDV Software Entertainment,Germany
Microids,France
PM Studios,USA
Paon,Japan
Micro Cabin,Japan
GameTek,USA
Benesse,Japan
Type-Moon,Japan
Enjoy Gaming ltd.,United Kingdom
Asmik Corp,Japan
Interplay Productions,USA
Asmik Ace Entertainment,Japan
inXile Entertainment,USA
Image Epoch,Japan
Phantom EFX,USA
Evolved Games,USA
responDESIGN,USA
Culture Publishers,Japan
Griffin International,United Kingdom
Hackberry,Japan
Hearty Robin,Japan
Nippon Amuse,Japan
Origin Systems,USA
Seventh Chord,Japan
Mitsui,Japan
Milestone,Italy
Abylight,Spain
Flight-Plan,Japan
Glams,Japan
Locus,Japan
Warp,Japan
Daedalic Entertainment,Germany
Alternative Software,United Kingdom
Myelin Media,USA
Mercury Games,USA
Irem Software Engineering,Japan
Sunrise Interactive,Japan
Elite,United Kingdom
Evolution Games,Japan
Tivola,Germany
Global A Entertainment,Japan
Edia,Japan
Athena,Japan
Aria,Japan
Gamecock,USA
Tommo,USA
Altron,Japan
Happinet,Japan
iWin,USA
Media Works,Japan
Fortyfive,Japan
Revolution Software,United Kingdom
Imax,United Kingdom
Crimson Cow,Germany
10TACLE Studios,Germany
Groove Games,Canada
Pack-In-Video,Japan
Insomniac Games,USA
Ascaron Entertainment GmbH,Germany
Asgard,Japan
Ecole,Japan
Yumedia,Japan
Phenomedia,Germany
HAL Laboratory,Japan
Grand Prix Games,Japan
DigiCube,Japan
Creative Core,Japan
Kaga Create,Japan
WayForward Technologies,USA
LSP Games,Japan
ASCII Media Works,Japan
Coconuts Japan,Japan
Arika,Japan
Ertain,Japan
Marvel Entertainment,USA
Prototype,Japan
TopWare Interactive,Germany
Phantagram,South Korea
1C Company,Russia
The Learning Company,USA
TechnoSoft,Japan
Vap,Japan
Misawa,Japan
Tradewest,USA
Team17 Software,United Kingdom
Yeti,Japan
Pow,Japan
Navarre Corp,USA
MediaQuest,Japan
Max Five,Japan
Comfort,Japan
Monte Christo Multimedia,France
Pony Canyon,Japan
Riverhillsoft,Japan
Summitsoft,United Kingdom
Milestone S.r.l,Italy
Playmore,Japan
MLB.com,USA
Kool Kizz,Japan
Flashpoint Games,United Kingdom
49Games,Germany
Legacy Interactive,USA
Alawar Entertainment,Russia
CyberFront,Japan
Cloud Imperium Games Corporation,USA
Societa,Japan
Virtual Play Games,Japan
Interchannel,Japan
Sonnet,Japan
Experience Inc.,Japan
Zenrin,Japan
Iceberg Interactive,Netherlands
Ivolgamus,Lithuania
2D Boy,USA
MC2 Entertainment,France
Kando Games,Japan
Just Flight,United Kingdom
Office Create,Japan
Mamba Games,United Kingdom
Fields,Japan
Princess Soft,Japan
Maximum Family Games,USA
Berkeley,USA
Fuji,Japan
Dusenberry Martin Racing,USA
imageepoch Inc.,Japan
Big Fish Games,USA
Her Interactive,USA
Kamui,Japan
ASK,Japan
Headup Games,Germany
KSS,Japan
Cygames,Japan
KID,Japan
Quinrose,Japan
Sunflowers,Japan
dramatic create,Japan
TGL,Japan
Encore,USA
Extreme Entertainment Group,USA
Intergrow,Japan
G.Rev,Japan
Sweets,Japan
Kokopeli Digital Studios,Japan
Number None,USA
Nexon,South Korea
id Software,USA
Bushi

Road,Japan
Tryfirst,South Korea
Strategy First,Canada
7G//AMES,Japan
GN Software,Japan
Yuke's,Japan
Easy Interactive,Netherlands
Licensed 4U,Japan
FuRyu Corporation,Japan
Lexicon Entertainment,United Kingdom
Paon Corporation,Japan
Kids Station,Japan
GOA,France
Graphsim Entertainment,Japan
King Records,Japan
